city,pagerank
Green Bay WI,0.00166
Fargo ND,0.00164
Panama City FL,0.00164
Wrangell AK,0.00158
Springfield MO,0.00157
Cedar Rapids/Iowa City IA,0.00157
Sitka AK,0.00152
Petersburg AK,0.00151
Tallahassee FL,0.00151
Medford OR,0.00150
Harrisburg PA,0.00149
Allentown/Bethlehem/Easton PA,0.00149
Sarasota/Bradenton FL,0.00148
Missoula MT,0.00142
Yakutat AK,0.00139
Fort Wayne IN,0.00139
Bakersfield CA,0.00138
Moline IL,0.00137
Barrow AK,0.00137
Charleston/Dunbar WV,0.00136
South Bend IN,0.00136
Gulfport/Biloxi MS,0.00135
Amarillo TX,0.00134
Cordova AK,0.00129
Monterey CA,0.00124
Pasco/Kennewick/Richland WA,0.00123
Bend/Redmond OR,0.00121
Eugene OR,0.00121
Sioux Falls SD,0.00121
Peoria IL,0.00121
Grand Junction CO,0.00121
Rochester MN,0.00121
Aspen CO,0.00121
Shreveport LA,0.00120
Mobile AL,0.00120
Chattanooga TN,0.00120
Evansville IN,0.00120
Appleton WI,0.00120
Bloomington/Normal IL,0.00119
Baton Rouge LA,0.00119
Valparaiso FL,0.00119
Asheville NC,0.00117
Scranton/Wilkes-Barre PA,0.00117
Latrobe PA,0.00116
Newport News/Williamsburg VA,0.00115
Newburgh/Poughkeepsie NY,0.00114
Adak Island AK,0.00113
King Salmon AK,0.00113
Kotzebue AK,0.00113
Nome AK,0.00113
Bangor ME,0.00113
Meridian MS,0.00107
Billings MT,0.00104
Lincoln NE,0.00104
Bismarck/Mandan ND,0.00104
Toledo OH,0.00103
Lafayette LA,0.00103
Eagle CO,0.00103
Montrose/Delta CO,0.00103
Montgomery AL,0.00102
Deadhorse AK,0.00102
State College PA,0.00101
Lansing MI,0.00101
Charlottesville VA,0.00101
Christiansted VI,0.00099
Wilmington NC,0.00098
Melbourne FL,0.00098
Arcata/Eureka CA,0.00096
Crescent City CA,0.00096
Aguadilla PR,0.00095
Marquette MI,0.00095
Nantucket MA,0.00095
Hibbing MN,0.00092
International Falls MN,0.00092
Iron Mountain/Kingsfd MI,0.00092
Rhinelander WI,0.00092
Devils Lake ND,0.00090
Jamestown ND,0.00090
Hilo HI,0.00088
Great Falls MT,0.00086
Helena MT,0.00086
Idaho Falls ID,0.00086
Sun Valley/Hailey/Ketchum ID,0.00086
Alexandria LA,0.00086
Corpus Christi TX,0.00086
Killeen TX,0.00086
Monroe LA,0.00086
Cody WY,0.00086
St. George UT,0.00086
Santa Fe NM,0.00085
El Centro CA,0.00085
Williston ND,0.00085
Roanoke VA,0.00084
Saginaw/Bay City/Midland MI,0.00084
Durango CO,0.00084
Champaign/Urbana IL,0.00084
Hattiesburg/Laurel MS,0.00084
San Luis Obispo CA,0.00084
Kalamazoo MI,0.00082
Daytona Beach FL,0.00082
Harlingen/San Benito TX,0.00082
Gustavus AK,0.00082
Fort Smith AR,0.00068
Casper WY,0.00068
Gillette WY,0.00068
Columbia MO,0.00067
Manhattan/Ft. Riley KS,0.00067
Springfield IL,0.00067
Minot ND,0.00067
Duluth MN,0.00067
La Crosse WI,0.00067
North Bend/Coos Bay OR,0.00067
Santa Maria CA,0.00067
Beaumont/Port Arthur TX,0.00067
Brownsville TX,0.00067
College Station/Bryan TX,0.00067
Lake Charles LA,0.00067
Laredo TX,0.00067
Mission/McAllen/Edinburg TX,0.00067
San Angelo TX,0.00067
Tyler TX,0.00067
Bristol/Johnson City/Kingsport TN,0.00066
Gainesville FL,0.00066
Key West FL,0.00066
Niagara Falls NY,0.00066
Plattsburgh NY,0.00066
Gunnison CO,0.00066
Elmira/Corning NY,0.00066
Yuma AZ,0.00065
Erie PA,0.00065
Binghamton NY,0.00064
Worcester MA,0.00063
Marthas Vineyard MA,0.00063
Ponce PR,0.00063
Bethel AK,0.00061
Dillingham AK,0.00061
Kodiak AK,0.00061
Visalia CA,0.00053
St. Augustine FL,0.00052
Guam TT,0.00051
Pago Pago TT,0.00051
Butte MT,0.00050
Cedar City UT,0.00050
Elko NV,0.00050
Lewiston ID,0.00050
Pocatello ID,0.00050
Twin Falls ID,0.00050
West Yellowstone MT,0.00050
Albany GA,0.00050
Augusta GA,0.00050
Brunswick GA,0.00050
Columbus GA,0.00050
Columbus MS,0.00050
Dothan AL,0.00050
Fayetteville NC,0.00050
Florence SC,0.00050
Hickory NC,0.00050
Jacksonville/Camp Lejeune NC,0.00050
Kinston NC,0.00050
Lewisburg WV,0.00050
Lynchburg VA,0.00050
Macon GA,0.00050
Naples FL,0.00050
New Bern/Morehead/Beaufort NC,0.00050
Tupelo MS,0.00050
Valdosta GA,0.00050
Abilene TX,0.00049
Garden City KS,0.00049
Grand Island NE,0.00049
Joplin MO,0.00049
Lawton/Fort Sill OK,0.00049
Longview TX,0.00049
Roswell NM,0.00049
Texarkana AR,0.00049
Waco TX,0.00049
Wichita Falls TX,0.00049
Aberdeen SD,0.00049
Bemidji MN,0.00049
Brainerd MN,0.00049
Dickinson ND,0.00049
Grand Forks ND,0.00049
Chico CA,0.00049
Modesto CA,0.00049
Redding CA,0.00049
Hays KS,0.00049
Laramie WY,0.00049
Rock Springs WY,0.00049
Dubuque IA,0.00049
Eau Claire WI,0.00049
Hancock/Houghton MI,0.00049
Mosinee WI,0.00049
Muskegon MI,0.00049
Paducah KY,0.00049
Sioux City IA,0.00049
Waterloo IA,0.00049
Carlsbad CA,0.00048
Inyokern CA,0.00048
Oxnard/Ventura CA,0.00048
Hayden CO,0.00048
Hobbs NM,0.00048
Victoria TX,0.00048
Alpena MI,0.00048
Escanaba MI,0.00048
Pellston MI,0.00048
Sault Ste. Marie MI,0.00048
Flagstaff AZ,0.00047
Ashland WV,0.00047
New Haven CT,0.00047
Hyannis MA,0.00047
